"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","City/Ward/Town/Village","Address (Street Level)","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1000001","国立国会図書館","National Diet Library","コクリツコッカイトショカン","100-8924","東京都","千代田区","永田町1-10-1","03-3581-2331","03-3506-3301","https://www.ndl.go.jp/",,2011/10/1 0:00:00,
"JP-1000002","国立国会図書館関西館","Kansai-kan of the National Diet Library","コクリツコッカイトショカンカンサイカン","619-0287","京都府","相楽郡精華町","精華台8-1-3","0774-98-1200","","https://www.ndl.go.jp/jp/kansai/index.html",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1000003","国立国会図書館国際子ども図書館","International Library of Children's Literature, National Diet Library","コクリツコッカイトショカンコクサイコドモトショカン","110-0007","東京都","台東区","上野公園12-49","03-3827-2053","","https://www.kodomo.go.jp/index.html",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1000004","会計検査院図書館","Board of Audit Library, Branch of the NDL","カイケイケンサイントショカン","100-8941","東京都","千代田区","霞が関3-2-2","03-3581-3251","","",,2011/10/1 0:00:00,2012/4/4 0:00:00
"JP-1000005","人事院図書館","National Personnel Authority Library, Branch of the NDL","ジンジイントショカン","100-8913","東京都","千代田区","霞が関1-2-3","03-3581-5311","","",,2011/10/1 0:00:00,
"JP-1000006","内閣法制局図書館","Cabinet Legislation Bureau Library, Branch of the NDL","ナイカクホウセイキョクトショカン","100-0013","東京都","千代田区","霞が関3-1-1","03-3581-7271","","",,2011/10/1 0:00:00,
"JP-1000007","内閣府図書館","Cabinet Office Library, Branch of the NDL","ナイカクフトショカン","100-8914","東京都","千代田区","永田町1-6-1","03-5253-2111","","",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000008","日本学術会議図書館","Library of Science Council of Japan, Branch of the NDL","ニホンガクジュツカイギトショカン","106-8555","東京都","港区","六本木7-22-34","03-3403-6295","","",,2011/10/1 0:00:00,
"JP-1000009","宮内庁図書館","Imperial Household Agency Library, Branch of the NDL","クナイチョウトショカン","100-8111","東京都","千代田区","千代田1-1","03-3213-1111","","",,2011/10/1 0:00:00,2012/4/13 0:00:00
"JP-1000010","公正取引委員会図書館","Fair Trade Commission Library, Branch of the NDL","コウセイトリヒキイインカイトショカン","100-8987","東京都","千代田区","霞が関1-1-1","03-3581-5471","","",,2011/10/1 0:00:00,
"JP-1000011","警察庁図書館","National Police Agency Library, Branch of the NDL","ケイサツチョウトショカン","100-8974","東京都","千代田区","霞が関2-1-2","03-3581-0141","","",,2011/10/1 0:00:00,
"JP-1000012","金融庁図書館","Financial Services Agency Library, Branch of the NDL","キンユウチョウトショカン","100-8967","東京都","千代田区","霞が関3-2-1","03-3506-6000","","",,2011/10/1 0:00:00,
"JP-1000013","消費者庁図書館","Consumer Affairs Agency Library, Branch of the NDL","ショウヒシャチョウトショカン","100-6178","東京都","千代田区","永田町2-11-1","03-3507-8800","","",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000014","総務省図書館","Ministry of Internal Affairs and Communications Library, Branch of the NDL","ソウムショウトショカン","100-8926","東京都","千代田区","霞が関2-1-2","03-5253-6111","","",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000015","総務省統計図書館","Statistical Library of Ministry of Internal Affairs and Communications, Branch of the NDL","ソウムショウトウケイトショカン","162-8668","東京都","新宿区","若松町19-1","03-5273-1131","03-3203-8267","http://www.stat.go.jp/library/index.htm",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000016","法務図書館","Ministry of Justice Library, Branch of the NDL","ホウムトショカン","100-8977","東京都","千代田区","霞が関1-1-1","03-3580-4111","","http://www.moj.go.jp/housei/tosho-tenji/kanbou_library_library01.html",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000018","財務省図書館","Ministry of Finance Library, Branch of the NDL","ザイムショウトショカン","100-8940","東京都","千代田区","霞が関3-1-1","03-3581-4111","","",,2011/10/1 0:00:00,
"JP-1000019","文部科学省図書館","Ministry of Education, Culture, Sports, Science and Technology Library, Branch of the NDL","モンブカガクショウトショカン","100-8959","東京都","千代田区","霞が関3-2-2","03-5253-4111","","",,2011/10/1 0:00:00,
"JP-1000020","厚生労働省図書館","Ministry of Health, Labour and Welfare Library, Branch of the NDL","コウセイロウドウショウトショカン","100-8916","東京都","千代田区","霞が関1-2-2","03-5253-1111","","https://www.mhlw.go.jp/library/opac4/opac/Top",,2011/10/1 0:00:00,2020/2/20 0:00:00
"JP-1000021","農林水産省図書館","Ministry of Agriculture, Forestry and Fisheries Library, Branch of the NDL","ノウリンスイサンショウトショカン","100-8950","東京都","千代田区","霞が関1-2-1","03-3502-8111","","http://www.maff.go.jp/j/library/portal/index.html",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000022","林野庁図書館","Forestry Agency Library, Branch of the NDL","リンヤチョウトショカン","100-8952","東京都","千代田区","霞が関1-2-1","03-3502-8111","","http://www.rinya.maff.go.jp/j/tosyo/index.html",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000023","経済産業省図書館","Ministry of Economy, Trade and Industry Library, Branch of the NDL","ケイザイサンギョウショウトショカン","100-8901","東京都","千代田区","霞が関1-3-1","03-3501-1511","","http://www.meti.go.jp/topic/data/e70621aj.html",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000024","特許庁図書館","Patent Office Library, Branch of the NDL","トッキョチョウトショカン","100-8915","東京都","千代田区","霞が関3-4-3","03-3581-1101","","https://www.jpo.go.jp/news/koho/info/library/index.html",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1000025","国土交通省図書館","Ministry of Land, Infrastructure, Transport and Tourism Library, Branch of the NDL","コクドコウツウショウトショカン","100-8918","東京都","千代田区","霞が関2-1-2","03-5253-8111","","http://www.mlit.go.jp/about/kanbo01_hy_002608.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000026","気象庁図書館","Meteorological Agency Library, Branch of the NDL","キショウチョウトショカン","105-8431","東京都","港区","虎ノ門3-6-9","03-6758-3900","","http://www.jma.go.jp/jma/kishou/intro/tosho_index.html",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1000027","海上保安庁図書館","Japan Coast Guard Library, Branch of the NDL","カイジョウホアンチョウトショカン","100-8976","東京都","千代田区","霞が関2-1-3","03-3591-6361","","",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000028","環境省図書館","Ministry of the Environment Library, Branch of the NDL","カンキョウショウトショカン","100-8975","東京都","千代田区","霞が関1-2-2","03-3581-3351","","http://www.env.go.jp/guide/library/",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000029","防衛省図書館","Ministry of Defense Library, Branch of the NDL","ボウエイショウトショカン","162-8801","東京都","新宿区","市谷本村町5-1","03-3268-3111","","https://www.mod.go.jp/j/profile/dal/",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1000030","最高裁判所図書館","Supreme Court Library, Branch of the NDL","サイコウサイバンショトショカン","102-8651","東京都","千代田区","隼町4-2","03-3264-8111","","http://www.courts.go.jp/saikosai/tosyokan/",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1003232","北海道大学附属図書館","HOKKAIDO UNIVERSITY LIBRARY","ホッカイドウダイガクフゾクトショカン","060-0808","北海道","札幌市北区","北8条西5丁目","011-706-4998","011-747-2855","http://www.lib.hokudai.ac.jp",,2011/10/1 0:00:00,2012/4/26 0:00:00
"JP-1003233","北海道大学文学研究科･文学部図書室","Library, Faculty of Letters, Hokkaido University","ホッカイドウダイガクブンガクケンキュウカ･ブンガクブトショシツ","060-0810","北海道","札幌市北区","北10条西7丁目","011-706-3061","011-706-3010","http://www.lib.hokudai.ac.jp/let/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003234","北海道大学教育学研究院･教育学院･教育学部図書室","Library, Faculty of Education, Graduate School of Education, Hokkaido University","ホッカイドウダイガクキョウイクガクケンキュウイン･キョウイクガクイン･キョウイクガクブトショシツ","060-0811","北海道","札幌市北区","北11条西7丁目","011-706-3086","011-706-4951","http://www.lib.hokudai.ac.jp/edu/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003235","北海道大学経済学研究科･経済学部図書室","Library, Graduate School of Economics, Hokkaido University","ホッカイドウダイガクケイザイガクケンキュウカ･ケイザイガクブトショシツ","060-0809","北海道","札幌市北区","北9条西7丁目","011-706-3167","","http://www.lib.hokudai.ac.jp/eco/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003236","北海道大学大学院理学研究院･理学院･理学部図書室","Library, Faculty of Science, Graduate School of Science and School of Science, Hokkaido University","ホッカイドウダイガクダイガクインリガクケンキュウイン･リガクイン･リガクブトショシツ","060-0810","北海道","札幌市北区","北10条西8丁目","011-706-2667","011-706-3715","http://www.lib.hokudai.ac.jp/sci/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003237","北海道大学医学研究科･医学部図書館","Library, School of Medicine, Hokkaido University","ホッカイドウダイガクイガクケンキュウカ･イガクブトショカン","060-8638","北海道","札幌市北区","北15条西7丁目","011-706-5016","011-706-5080","http://www.lib.hokudai.ac.jp/med/",,2011/10/1 0:00:00,2013/8/22 0:00:00
