"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","市区町村City/Ward/Town/Village","町名番地Address","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1000031","北海道立図書館","Hokkaido Prefectural Library","ホッカイドウリツトショカン","069-0834","北海道","江別市","文京台東町41","011-386-8521","011-386-6906","http://www.library.pref.hokkaido.jp",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000032","札幌市中央図書館","Sapporo Municipal Central Library","サッポロシチュウオウトショカン","064-8516","北海道","札幌市中央区","南22条西13丁目1-1","011-512-7320","011-512-7110","http://www.city.sapporo.jp/toshokan/",,2011/10/1 0:00:00,2021/4/6 0:00:00
"JP-1000033","札幌市山の手図書館","Sapporo Yamanote Library","サッポロシヤマノテトショカン","063-0004","北海道","札幌市西区","山の手4条2丁目1-20","011-644-6822","011-644-4079","http://www.city.sapporo.jp/toshokan/sisetu/yamanote/yamanote.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000034","札幌市新琴似図書館","Sapporo Shinkotoni Library","サッポロシシンコトニトショカン","001-0907","北海道","札幌市北区","新琴似7条4丁目1-2","011-764-1901","011-764-2329","http://www.city.sapporo.jp/toshokan/",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000035","札幌市西岡図書館","Sapporo Nishioka Library","サッポロシニシオカトショカン","062-0033","北海道","札幌市豊平区","西岡3条6丁目6-1","011-852-8111","011-852-1394","http://www.city.sapporo.jp/toshokan/sisetu/nisioka/nisioka.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000036","札幌市澄川図書館","Sapporo Sumikawa Library","サッポロシスミカワトショカン","005-0004","北海道","札幌市南区","澄川4条4丁目5-6","011-822-3730","011-822-7592","http://www.city.sapporo.jp/toshokan/sisetu/sumikawa/sumikawa.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000037","札幌市元町図書館","Sapporo Motomachi Library","サッポロシモトマチトショカン","065-0030","北海道","札幌市東区","北30条東16丁目3-13","011-784-0841","011-784-0458","http://www.city.sapporo.jp/toshokan/sisetu/motomati/motomati.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000038","札幌市厚別図書館","Sapporo Atsubetsu Library","サッポロシアツベツトショカン","004-0051","北海道","札幌市厚別区","厚別中央1条5丁目3-15","011-894-1590","011-894-0294","http://www.city.sapporo.jp/toshokan/sisetu/atubetu/atubetu.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000039","札幌市曙図書館","Sapporo Akebono Library","サッポロシアケボノトショカン","006-0832","北海道","札幌市手稲区","曙2条1丁目2-50","011-685-4946","011-685-9481","http://www.city.sapporo.jp/toshokan/sisetu/akebono/akebono.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000040","札幌市東札幌図書館","Sapporo Higashisapporo Library","サッポロシヒガシサッポロトショカン","003-0004","北海道","札幌市白石区","東札幌4条4丁目1-1","011-824-2801","011-824-8792","http://www.city.sapporo.jp/toshokan/sisetu/h-sapporo/h-sapporo.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
